2025-10-21 01:22:48 EEST | INFO     | trading_bot | Saved 0 klines for VETUSDT 15m
2025-10-21 01:22:48 EEST | INFO     | trading_bot | Downloading historical klines for VETUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:48 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - VETUSDT 1h
2025-10-21 01:22:48 EEST | INFO     | trading_bot | Saved 0 klines for VETUSDT 1h
2025-10-21 01:22:48 EEST | INFO     | trading_bot | Downloading historical klines for VETUSDT 4h from 2025-10-20 20:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:48 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - VETUSDT 4h
2025-10-21 01:22:48 EEST | INFO     | trading_bot | Saved 0 klines for VETUSDT 4h
2025-10-21 01:22:48 EEST | INFO     | trading_bot | Downloading historical klines for VETUSDT 1d from 2025-10-20 00:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:49 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - VETUSDT 1d
2025-10-21 01:22:49 EEST | INFO     | trading_bot | Saved 0 klines for VETUSDT 1d
2025-10-21 01:22:49 EEST | INFO     | trading_bot | Downloading historical klines for THETAUSDT 15m from 2025-10-20 22:15:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:49 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - THETAUSDT 15m
2025-10-21 01:22:49 EEST | INFO     | trading_bot | Saved 0 klines for THETAUSDT 15m
2025-10-21 01:22:49 EEST | INFO     | trading_bot | Downloading historical klines for THETAUSDT 1h from 2025-10-20 22:00:00+00:00 to 2025-10-20 22:22:26.118129+00:00 (1 days)
2025-10-21 01:22:49 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - THETAUSDT 1h
2025-10-21 01:22:49 EEST | INFO     | trading_bot | Saved 0 klines for THETAUSDT 1h
