2025-10-19 05:22:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SOLUSDT 15m
2025-10-19 05:22:03 EEST | INFO     | trading_bot | Saved 2 klines for SOLUSDT 15m
2025-10-19 05:22:03 EEST | INFO     | trading_bot | Downloading historical klines for SOLUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:22:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DOTUSDT 15m
2025-10-19 05:22:03 EEST | INFO     | trading_bot | Saved 2 klines for DOTUSDT 15m
2025-10-19 05:22:03 EEST | INFO     | trading_bot | Downloading historical klines for DOTUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for AXLUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 AXLUSDT OI: Current=17248182, Delta=-38200, DOI%=-0.22%
2025-10-19 05:22:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SNXUSDT 15m
2025-10-19 05:22:03 EEST | INFO     | trading_bot | Saved 2 klines for SNXUSDT 15m
2025-10-19 05:22:03 EEST | INFO     | trading_bot | Downloading historical klines for SNXUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for RENDERUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 RENDERUSDT OI: Current=4303746, Delta=7997, DOI%=0.19%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for ZROUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 ZROUSDT OI: Current=6245410, Delta=2197, DOI%=0.04%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for TONUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 TONUSDT OI: Current=10726185, Delta=-2074, DOI%=-0.02%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for BOMEUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 BOMEUSDT OI: Current=4706657030, Delta=-770436, DOI%=-0.02%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for JUPUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 JUPUSDT OI: Current=63866445, Delta=36085, DOI%=0.06%
2025-10-19 05:22:03 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - CRVUSDT 15m
2025-10-19 05:22:03 EEST | INFO     | trading_bot | Saved 2 klines for CRVUSDT 15m
2025-10-19 05:22:03 EEST | INFO     | trading_bot | Downloading historical klines for CRVUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for POLUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 POLUSDT OI: Current=93794533, Delta=29400, DOI%=0.03%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for ONDOUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 ONDOUSDT OI: Current=37537226, Delta=-56967, DOI%=-0.15%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for 1000RATSUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 1000RATSUSDT OI: Current=214877606, Delta=-12650, DOI%=-0.01%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for TAOUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 TAOUSDT OI: Current=128892, Delta=-921, DOI%=-0.71%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for BBUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 BBUSDT OI: Current=58936441, Delta=121776, DOI%=0.21%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for STRKUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 STRKUSDT OI: Current=112805147, Delta=-204322, DOI%=-0.18%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for POPCATUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 POPCATUSDT OI: Current=39993094, Delta=-141191, DOI%=-0.35%
2025-10-19 05:22:03 EEST | INFO     | trading_bot | ✅ OI History OK for IOUSDT: 30 records
2025-10-19 05:22:03 EEST | INFO     | trading_bot | 📊 IOUSDT OI: Current=14335926, Delta=36240, DOI%=0.25%
2025-10-19 05:24:31 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SOLUSDT 1h
2025-10-19 05:24:31 EEST | INFO     | trading_bot | Saved 1 klines for SOLUSDT 1h
2025-10-19 05:24:31 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - DOTUSDT 1h
2025-10-19 05:24:31 EEST | INFO     | trading_bot | Saved 1 klines for DOTUSDT 1h
2025-10-19 05:24:59 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SNXUSDT 1h
2025-10-19 05:24:59 EEST | INFO     | trading_bot | Saved 1 klines for SNXUSDT 1h
2025-10-19 05:27:21 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - CRVUSDT 1h
2025-10-19 05:27:21 EEST | INFO     | trading_bot | Saved 1 klines for CRVUSDT 1h
2025-10-19 05:30:53 EEST | WARNING  | trading_bot | ⏳ Previous signal check still running, skipping this cycle
2025-10-19 05:31:06 EEST | INFO     | trading_bot | Downloading historical klines for UNIUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:31:06 EEST | INFO     | trading_bot | Downloading historical klines for AVAXUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:31:06 EEST | INFO     | trading_bot | Downloading historical klines for NEARUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
