2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for 1000SATSUSDT 15m from 2025-10-19 04:46:00+00:00 to 2025-10-19 05:16:01.427913+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - UMAUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 0 klines for UMAUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - NMRUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for NMRUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=120+10, binance=50 (diff: -70)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | 🔄 Binance counter reset: 120→50, cleared pending=10
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - NMRUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 0 klines for NMRUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=50+0, binance=110 (diff: +60)
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - EDUUSDT 4h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for EDUUSDT 4h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | 🔄 Binance counter reset: 110→70, cleared pending=0
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - 1000FLOKIUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for 1000FLOKIUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SEIUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 0 klines for SEIUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ARKMUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 0 klines for ARKMUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for 1000SATSUSDT 1h from 2025-10-19 04:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for 1000SATSUSDT 1h from 2025-10-19 04:01:00+00:00 to 2025-10-19 05:16:01.444912+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for 1000SATSUSDT 4h from 2025-10-18 20:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for 1000SATSUSDT 4h from 2025-10-18 20:01:00+00:00 to 2025-10-19 05:16:01.446912+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for 1000RATSUSDT 15m from 2025-10-19 04:46:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for 1000RATSUSDT 15m from 2025-10-19 04:46:00+00:00 to 2025-10-19 05:16:01.449914+00:00 (1 days)
