Номер;Время (Киев);Монета;Направление;Entry;Stop Loss;Take Profit 1;Take Profit 2;Exit;PnL %;Score
136;21.10.2025 15:47:20;XPLUSDT;LONG;0.3949;0.3907;0.4012;0.4054;0.3907;-1.06;7.1
137;21.10.2025 15:47:54;XRPUSDT;LONG;2.4371;2.4259;2.4539;2.4650;2.4259;-0.46;7.6
138;21.10.2025 15:47:55;LTCUSDT;LONG;93.5200;93.1013;94.1481;94.5668;93.1013;-0.45;10.8
139;21.10.2025 15:47:55;NEARUSDT;LONG;2.2520;2.2372;2.2742;2.2890;2.2372;-0.66;7.0
140;21.10.2025 15:47:55;SANDUSDT;LONG;0.2119;0.2106;0.2137;0.2149;0.2106;-0.58;7.2
141;21.10.2025 15:47:55;CRVUSDT;LONG;0.5414;0.5368;0.5484;0.5530;0.5368;-0.86;7.5
142;21.10.2025 15:48:31;CFXUSDT;LONG;0.1113;0.1107;0.1123;0.1129;0.1107;-0.58;7.1
143;21.10.2025 16:04:14;NEARUSDT;LONG;2.2378;2.2226;2.2607;2.2759;2.2226;-0.68;7.3
144;21.10.2025 16:04:59;1000FLOKIUSDT;LONG;0.0750;0.0742;0.0761;0.0768;0.0742;-0.99;12.8
145;21.10.2025 16:17:46;AAVEUSDT;LONG;221.9800;220.4643;223.4957;225.0115;220.4643;-0.68;3.5
146;21.10.2025 16:17:47;AVAXUSDT;LONG;19.9840;19.8722;20.1517;20.2635;19.8722;-0.56;10.5
147;21.10.2025 16:18:21;ENSUSDT;LONG;15.3710;15.2741;15.5163;15.6132;15.2741;-0.63;11.2
148;21.10.2025 16:18:22;1000BONKUSDT;LONG;0.0146;0.0145;0.0147;0.0148;0.0145;-0.71;7.6
149;21.10.2025 16:18:55;DOODUSDT;SHORT;0.0062;0.0062;0.0061;0.0060;0.0062;-1.11;7.3
150;21.10.2025 16:34:06;AGTUSDT;LONG;0.0043;0.0043;0.0044;0.0045;0.0043;-1.61;8.1
151;21.10.2025 16:34:06;AGTUSDT;LONG;0.0043;0.0043;0.0044;0.0045;0.0043;-1.77;8.1
152;21.10.2025 17:18:18;MEMEUSDT;LONG;0.0017;0.0017;0.0017;0.0018;0.0017;-0.74;7.6
153;21.10.2025 17:18:53;NEIROUSDT;LONG;0.0002;0.0002;0.0002;0.0002;0.0002;-0.81;7.6
154;21.10.2025 17:19:00;GRTUSDT;LONG;0.0663;0.0658;0.0671;0.0676;0.0658;-0.76;10.8
155;21.10.2025 19:26:41;JUPUSDT;SHORT;0.3551;-;-;-;0.3739;-5.30;-
156;21.10.2025 19:59:52;ZORAUSDT;LONG;0.1099;0.1067;0.1147;0.1180;0.1067;-2.93;8.7
157;21.10.2025 19:59:52;AVNTUSDT;LONG;0.6634;0.6451;0.6909;0.7093;0.6451;-2.77;13.5
158;21.10.2025 20:43:13;TAOUSDT;LONG;410.8000;403.3701;421.9449;429.3748;403.3701;-1.81;6.6
